pointID,name,transliteration,english,pinyin,korean,romaji,vietnamese,alternative
LU-1,中府,Zhongfu,Middle Palace,zhōng fǔ,jung bu 중부,chū fu,Trung phủ,
LU-2,雲門,Yunmen,Cloud Gate,yún mén,un mun 운문,un mon?,Vân môn,
LU-3,天府,Tianfu,Palace of Heaven,tiān fǔ,cheon bu 천부,tem pu(?),Thiên phủ,
LU-4,俠白,Xiabai,Clasping the White,xiá bái,hyeop baek 협백,kyō haku?,Hiệp bạch,
LU-5,尺澤,Chize,Cubit Marsh,chǐ zé,cheok taek 척택,shaku taku,Xích trạch,
LU-6,孔最,Kongzui,Maximum Opening,kǒng zuì,gong choe 공최,kō sai,Khổng tối,
LU-7,列缺,Lieque,Broken Sequence,liè quē,yeol gyeol 열결,rek ketsu,Liệt khuyết,
LU-8,經渠,Jingqu,Channel Gutter,jīng qú,gyeong geo 경거,kei kyo,Kinh cừ,
LU-9,太淵,Taiyuan,Supreme Abyss,tài yuān,tae yeon 태연,tai en,Thái uyên,
LU-10,魚際,Yuji,Fish Border,yú jì,eo je 어제,gyo sai,Ngư tế,
LU-11,少商,Shaoshang,Lesser Shang,shào shāng,so sang 소상,shō shō,"Thiếu thương""",
LI-1,商陽,Shangyang,Shang Yang,shāng yáng,sang yang 상양,shō yō,Thương dương,
LI-2,二間,Erjian,Second Space,èr jiān,i gan 이간,ji kan,Nhị gian,
LI-3,三間,Sanjian,Third Space,sān jiān,sam gan 삼간,san kan(?),Tam gian,
LI-4,合谷,He Gu,Joining Valley,hé gǔ,hap gok 합곡,gō koku,Hiệp cốc,
LI-5,陽谿,Yangxi,Yang Stream,yáng xī,yang gye 양계,yō kei,Dương khê,
LI-6,偏歴,Pianli,Veering Passage,piān lì,pyeon ryeok 편력,hen reki,Thiên lịch,
LI-7,溫溜,Wenliu,Warm Flow,wēn liū,ol lyu 온류,on rū,Ôn lưu,
LI-8,下廉,Xialian,Lower Angle,xià lián,ha ryeom 하렴,ge ren(?),Hạ liêm,
LI-9,上廉,Shanglian,Upper Angle,shàng lián,sang nyeom 상렴,jō ren?,Thượng liêm,
LI-10,手三里,Shousanli,Arm Three Miles,shǒu sān lǐ,[su] sam ni [수] 삼리,te san ri,Thủ tam lý,
LI-11,曲池,Quchi,Pool at the Crook,qū chí,gok ji 곡지,kyoku chi,Khúc trì,
LI-12,肘髎,Zhouliao,Elbow Crevice,zhǒu liáo,ju ryo 주료,chū ryō?,Trữu liêu,
LI-13,手五里,Shouwuli,Arm Five Miles,shǒu wǔ lǐ,[su] o ri [수] 오리,te no go ri?,(Thủ) ngũ lý,
LI-14,臂臑,Binao,Upper Arm,bì nào,bi no 비노,hi ju,Tí nhu,
LI-15,肩髃,Jianyu,Shoulder Bone,jiān yú,gyeon u 견우,ken gū,Kiên ngung,
LI-16,巨骨,Jugu,Great Bone,jù gǔ,geo gol 거골,ko kotsu,Ngự cốt,
LI-17,天鼎,Tianding,Heaven's Tripod,tiān dǐng,cheon jeong 천정,ten tei,Thiên đỉnh,
LI-18,扶突,Futu,Support the Prominence,fú tū,bu dol 부돌,fu totsu(?),Phù đột,
LI-19,口禾髎,Kouheliao,Mouth Grain Crevice,kǒu hé liáo,hwa ryo 화료,ka ryō(?),Hòa liêu,
LI-20,迎香,Yingxiang,Welcome Fragrance,yíng xiāng,yeong hyang 영향,gei ko,Nghênh hương,
ST-1,承泣,Chengqi,Container of Tears,chéng qì,seung eup 승읍,shō kyū,Thừa khấp,
ST-2,四白,Sibai,Four Whites,sì bái,sa baek 사백,shi haku,Tứ bạch,
ST-3,巨髎,Juliao,Great Crevice,jù liáo,geo ryo 거료,ko ryō,Cự liêu,
ST-4,地倉,Dicang,Earth Granary,dì cāng,ji chang 지창,chi so,Địa thương,
ST-5,大迎,Daying,Great Welcome,dà yíng,dae yeong 대영,da gei,Đại nghênh,
ST-6,頰車,Jiache,Jaw Bone,jiá chē,hyeop geo 협거,kyō sha,Giáp xa,
ST-7,下關,Xiaguan,Below the Joint,xià guān,ha gwan 하관,ge kan,Hạ quan,
ST-8,頭維,Touwei,Head's Binding,tóu wéi,du yu 두유,zu i,Đầu duy,
ST-9,人迎,Renying,Man's Welcome,rén yíng,in yeong 인영,jin gei,Nhân nghênh,Tianwuhui (Heaven's Five Meetings)
ST-10,水突,Shuitu,Water Prominence,shǔi tū,su dol 수돌,sui totsu(?),Thủy đột,
ST-11,氣舍,Qishe,Abode of Qi,qì shè,gi sa 기사,ki sha(?),Khí xá,
ST-12,缺盆,Quepen,Empty Basin,quē pén,gyeol bun 결분,ketsu bon,Khuyết bồn,
ST-13,氣戶,Qihu,Qi Door,qì hù,gi ho 기호,ki ko(?),Khí hộ,
ST-14,庫房,Kufang,Storehouse,kù fáng,go bang 고방,ko bō?,Khố phòng,
ST-15,屋翳,Wuyi,Room Screen,wū yì,ok ye 옥예,o kuei?,Ốc ế,
ST-16,膺窗,Yingchuang,Breast Window,yìng chuāng,eung chang 응창,yō sō?,Ưng song,
ST-17,乳中,Ruzhong,Middle of the Breast,rǔ zhōng,yu jung 유중,nyū chū?,Nhũ trung,
ST-18,乳根,Rugen,Root of the Breast,rǔ gēn,yu geun 유근,nyū kon?,Nhũ căn,
ST-19,不容,Burong,Not Contained,bù róng,bul yong 불용,fu yō,Bất dung,"""Uncontainable"" refers to vomiting"
ST-20,承满,Chengman,Supporting Fullness,chéng mǎn,seng man 승만,shō man,Thừa mãn,
ST-21,梁門,Liangmen,Beam Gate,liáng mén,yang mun 양문,ryō mon,Lương môn,
ST-22,關門,Guanmen,Pass Gate,guān mén,gwan mun 관문,kan mon?,Quan môn,
ST-23,太乙,Taiyi,Supreme Unity,tài yǐ,tae eul 태을,tai itsu(?),Thái ất,
ST-24,滑肉門,Huaroumen,Slippery Flesh Gate,huá ròu mén,hwal yung mun 활육문,katsu niku mon,Hoạt nhục môn,
ST-25,天樞,Tianshu,Heaven's Pivot,tiān shū,cheon chu 천추,ten sū,Thiên xu,
ST-26,外陵,Wailing,Outer Mound,wài líng,woe neung 외릉,gai ryō?,Ngoại lăng,
ST-27,大巨,Daju,The Great,dà jù,dae geo 대거,dai ko,Đại cự,
ST-28,水道,Shuidao,Water Passage,shuǐ dào,su do 수도,sui do(?),Thủy đạo,"Left ST 28 = Baomen ""Gate of Uterus”;  Right ST 28 = Zihu ""Child's Door - Sun Si Miao"" "
ST-29,歸來 (归来),Guilai,Return,guī lái,gui rae 귀래,ki rai(?),Qui lai,
ST-30,氣沖,Qichong,Rushing Qi,qì chōng,gi chung 기충,ki shō,Khí xung,
ST-31,髀關,Biguan,Thigh Gate,bì guān,bi gwan 비관,hi kan(?),Bễ quan,
ST-32,伏兔,Futu,Crouching Rabbit,fú tù,bok to 복토,fuku to,Phục thỏ,
ST-33,阴市,Yinshi,Yin Market,yīn shì,eum si 음시,in shi(?),Âm thị,
ST-34,梁丘,Liangqiu,Ridge Mound,liáng qīu,yang gu 양구,ryō kyū,Lương khâu,
ST-35,犊鼻,Dubi,Calf's Nose,dú bí,dok bi 독비,toku bi,Độc tị,
ST-36,足三里,Zusanli,Leg Three Miles,zú sān lǐ,[jok] sam ni [족] 삼리,ashi san ri,Túc tam lý,
ST-37,上巨虛,Shangjuxu,Upper Great Void,shàng jù xū,sang geo heo 상거허,jō ko kyu,Thượng cự hư,
ST-38,條口,Tiaokou,Lines Opening,tiáo kǒu,jo gu 조구,jō kō?,Điều khẩu,
ST-39,下巨虛,Xiajuxu,Lower Great Void,xià jù xū,ha geo heo 하거허,ge ko kyu?,Hạ cự hư,
